Full Name,Status,#,Post Name,Category,Employee Category,Practice Group,Team,Team Code,Location
Israel Holland,,11389,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Mariah Stone,,9011,Associate,Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - IP Disputes,200,London
Finn Ibarra,,7243,Associate,Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Projects,300,London
Madilynn Saunders,,2418,Partner,Partner,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,London
Kasen Gallagher,,4206,Workplace Services Coordinator,Workplace Services,UK - Business Services,"UK - Workplace Services,",UK - Workplace Services,6700,Bristol
Elliott Mann,,7484,Revenue Controller,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Nehemiah Huff,,7245,Associate,Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Karsyn Salas,,10719,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Advisory,",UK - Human Capital,400,London
Zaiden Floyd,,10855,Workplace Services Coordinator,Workplace Services,UK - Business Services,"UK - Workplace Services,",UK - Workplace Services,6700,Reading
Yaretzi Marshall,,9927,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Kaiden Barrett,,9163,Solicitor Apprentice,Solicitor Apprentice (UK),UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,Bristol
Kendall Chandler,,7124,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Reading
Royal Perez,,10791,Workplace Services Director,Workplace Services,UK - Business Services,"UK - Workplace Services,",UK - Workplace Services,6700,London
Eleanor Sampson,,10583,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Business Transactions,",UK - Financial Institutions Group (FIG),100,London
Cain Hernandez,,4849,Marketing Manager (Advisory and PREF),Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,London
Camila Jarvis,,5701,Document Specialist,Central Business Support,UK - Business Services,"UK - Business Support Services,",UK - Business Support,5700,Bristol
Marlon Reed,,4196,CRM Database Assistant,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Valentina Acevedo,,9614,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Dakari Christensen,,4248,IT Deskside Senior Support Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Carmen McFarland,,8347,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Advisory,",UK - PA Support,400,London
Dane Whitaker,,7252,Application Support Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Ivanna Simon,,11144,Boardrooms Receptionist,Workplace Services,UK - Business Services,"UK - Workplace Services,",UK - Workplace Services,6700,Bristol
Zayne Vasquez,,7475,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Rose Crane,,10453,Work Acceptance Officer,Risk & Compliance,UK - Business Services,"UK - Risk & Compliance,",UK - Risk & Compliance,6100,Bristol
Fox Rodriguez,,3540,Partner,Partner,UK - Fee Earners,"UK - Advisory,",UK - Human Capital,400,London
Evelyn Cardenas,,11175,Solicitor Apprentice,Solicitor Apprentice (UK),UK - Fee Earners,"UK - Disputes and Risk,",UK - Regulatory Disputes,200,Bristol
Johnathan Bravo,,5346,Financial Planning & Analysis Manager,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Amoura Valdez,,4345,Partner,Partner,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Kyler Cortez,,5024,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Haven Reeves,,9441,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Reading
Clark Riley,,10477,Associate,Associate,US - Operations,"US - Firm Management USA,",US - Operations,6900,New York
Kayla Thompson,,11399,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Bristol
Theodore Gonzales,,10348,Paralegal,Paralegal,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Hadley Dyer,,3737,Associate,Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Atreus Moody,,11440,Paralegal,Paralegal,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Elaine Lam,,4764,Senior Legal Cashier,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Bodie Young,,4396,Legal Director,Legal Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Zoey Duarte,,7968,HR Business Partner,Human Resources,UK - Business Services,"UK - Human Resources,",UK - Human Resources,5400,Bristol
Abdullah Shannon,,3945,Senior PA,Sr PA / Document Spec / Exec PA,UK - Fee Earner Support,"UK - Projects, Real Estate & Finance,",UK - PA Support,300,Bristol
Harlee Frederick,,1702,Head of Brand and Digital Channels,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,London
Kase Knapp,,45,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Business Transactions,",UK - PA Support,100,Bristol
Linda Barr,,7253,Strategic Procurement Manager,Risk & Compliance,UK - Business Services,"UK - Risk & Compliance,",UK - Risk & Compliance,6100,Bristol
Harley Snow,,10549,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Projects,300,London
Alexia Wilcox,,10842,Work Acceptance Assistant,Risk & Compliance,UK - Business Services,"UK - Risk & Compliance,",UK - Risk & Compliance,6100,Bristol
Jerry Wheeler,,8306,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,London
Sydney Hancock,,8323,HR Business Partner,Human Resources,UK - Business Services,"UK - Human Resources,",UK - Human Resources,5400,Bristol
Rex Nolan,,10901,Work Acceptance Assistant,Risk & Compliance,UK - Business Services,"UK - Risk & Compliance,",UK - Risk & Compliance,6100,Bristol
Itzayana Gibson,,8377,Application Support Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Tyler Keller,,4728,Paralegal,Paralegal,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Logan Gardner,,11448,Associate Director,Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Alan Wu,,9820,Associate Director,Associate Director,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Liana Miller,,3127,Chartered Legal Executive,Legal Executive,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Benjamin Howell,,8084,Associate,Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Banking,300,London
Mckenna McCarty,,4307,IT Operations Manager,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Blaise Lu,,11112,Partner,Partner,US - Operations,"US - Firm Management USA,",US - Operations,6900,San Francisco
Emani Morgan,,10050,Junior PA,Jr PA / Admin Assistant,UK - Fee Earner Support,"UK - Advisory,",UK - PA Support,400,London
Hunter Parra,,9496,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Financial Institutions Group (FIG),100,London
Dalary Green,,7746,Pensions Manager,Fee Earning Managers,UK - Fee Earners,"UK - Advisory,",UK - Pensions & Competition,400,Bristol
Anthony Person,,5549,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Dylan Bernal,,10524,Senior Legal Engineer,OC Solutions,UK - Business Services,"UK - OC Solutions,",UK - Operations,6450,Bristol
Eithan Rollins,,11278,Cyber Security Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Araceli Cook,,6461,Senior Revenue Controller,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Ezekiel Vo,,10792,Workplace Services Coordinator,Workplace Services,UK - Business Services,"UK - Workplace Services,",UK - Workplace Services,6700,Bristol
Artemis Arnold,,11013,Director of Change,Change Function,UK - Business Services,"UK - Change Function,",UK - Change Function,6850,Bristol
Abraham Pace,,8681,Operations Manager (Real Estate),Operations Director,UK - Fee Earner Support,"UK - Projects, Real Estate & Finance,",UK - Professional Support,300,Bristol
Giana Manning,,9635,Solicitor Apprentice,Solicitor Apprentice (UK),UK - Fee Earners,"UK - Advisory,",UK - Tax,400,Bristol
Seth Reed,,11232,Paralegal,Paralegal,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Valentina Mayer,,10533,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,Bristol
Yahir Preston,,9595,Responsible Business Manager,Human Resources,UK - Business Services,"UK - Human Resources,",UK - Human Resources,5400,London
Indie Carson,,328,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Ares Nelson,,9289,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Everly Aguirre,,5546,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Andy Velasquez,,8674,Internal Communications Business Partner,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Esme McFarland,,10553,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Dane O’Connell,,5633,Client Money Supervisor,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Jillian Harper,,6895,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Banking,300,London
Hayes Velazquez,,6587,Document Automation Team Leader,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Jaliyah Blevins,,9329,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Avi Hoffman,,2952,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Aspen Padilla,,8314,International PR Manager,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,London
Jaden Hale,,7486,Project Manager,Change Function,UK - Business Services,"UK - Change Function,",UK - Change Function,6850,Bristol
Brinley Haley,,9047,Workflow Developer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Leif Camacho,,1193,Partner,Partner,UK - Fee Earners,"UK - Disputes and Risk,",UK - Restructuring and Insolvency,200,Bristol
Armani Donaldson,,9879,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Canaan Ingram,,10835,E-Billing Controller,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Katie Pearson,,5702,Associate Director,Associate Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Gunner Kane,,6788,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Business Transactions,",UK - PA Support,100,London
Ellianna Pham,,7964,Associate Director,Associate Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Construction Disputes,200,Bristol
Russell McKee,,8643,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Bristol
Kori Harding,,9971,Associate,Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Brodie Horn,,8614,Senior Knowledge Lawyer,Knowledge,UK - Fee Earner Support,"UK - Projects, Real Estate & Finance,",UK - Professional Support,300,London
Avah Kane,,3454,Legal Director,Legal Director,UK - Fee Earners,"UK - Advisory,",UK - Human Capital,400,London
Brock Nava,,5240,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Projects, Real Estate & Finance,",UK - PA Support,300,Bristol
Scout Ho,,2622,Senior PA,Sr PA / Document Spec / Exec PA,UK - Fee Earner Support,"UK - Business Transactions,",UK - PA Support,100,Bristol
Morgan Frederick,,11123,Head of Change Management,Change Function,UK - Business Services,"UK - Change Function,",UK - Change Function,6850,Bristol
Sariyah Higgins,,3816,Associate Director,Associate Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Sterling Marks,,11392,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,Bristol
Monica Blanchard,,10327,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Advisory,",UK - Tax,400,Bristol
Adler Huffman,,8175,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Financial Institutions Group (FIG),100,London
Hayley Hodge,,9174,Client Origination Manager,Operations Director,UK - Fee Earner Support,"UK - Business Transactions,",UK - Professional Support,100,London
Reign Rivers,,10150,Legal Manager,Paralegal,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Kiana Morgan,,910,Executive Assistant,Sr PA / Document Spec / Exec PA,UK - Firm Management,"UK - Operations,",UK - OPS,5000,Bristol
Hunter Greene,,11124,Project Manager,Change Function,UK - Business Services,"UK - Change Function,",UK - Change Function,6850,Bristol
Selena Doyle,,3509,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Kashton Weber,,832,Partner,Partner,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Alayah Roman,,4377,Paralegal,Paralegal,UK - Fee Earners,"UK - Business Transactions,",UK - Financial Institutions Group (FIG),100,London
Kian Ramos,,972,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Disputes and Risk,",UK - PA Support,200,Bristol
Alice Jimenez,,5422,"Senior Knowledge Lawyer, Real Estate Disputes",Knowledge,UK - Fee Earner Support,"UK - Disputes and Risk,",UK - Professional Support,200,London
Silas Chapman,,40,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Disputes and Risk,",UK - PA Support,200,Bristol
Zuri Morales,,6559,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Aaron Glenn,,10151,Associate (Australian Qualified),Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Blaire Tyler,,1776,Partner,Partner,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,Bristol
Emmitt Pearson,,9892,Administrative Assistant,Central Business Support,UK - Business Services,"UK - Business Support Services,",UK - Business Support,5700,Reading
Kiara Garza,,10773,Marketing Assistant,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Judah Richards,,1293,Senior PA,Sr PA / Document Spec / Exec PA,UK - Fee Earner Support,"UK - Disputes and Risk,",UK - PA Support,200,Bristol
Trinity Koch,,7377,AML Officer,Risk & Compliance,UK - Business Services,"UK - Risk & Compliance,",UK - Risk & Compliance,6100,Bristol
Salvador Sherman,,11384,Digital Marketing & Data Assistant,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Addilyn Truong,,10440,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Ayan Wright,,4911,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Disputes and Risk,",UK - PA Support,200,Reading
Lily Lowe,,11507,Associate Director,Associate Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Construction Disputes,200,London
Julius Bowers,,9509,Paralegal,Paralegal,UK - Fee Earners,"UK - Disputes and Risk,",UK - Regulatory Disputes,200,Bristol
Elisa Jordan,,4834,Associate Director,Associate Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,Bristol
Sawyer Lu,,8673,Finance Business Partner,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Emani Portillo,,8020,Associate Director,Associate Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Wallace Davidson,,1240,Legal Director,Legal Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Restructuring and Insolvency,200,Bristol
Jayla Decker,,4024,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Disputes and Risk,",UK - PA Support,200,London
Taylor McCarty,,4869,Associate Director,Associate Director,UK - Fee Earners,"UK - Advisory,",UK - Human Capital,400,Bristol
Halo Mora,,1284,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Arturo Zamora,,11418,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Financial Institutions Group (FIG),100,London
Sierra Livingston,,4899,Legal Director,Legal Director,UK - Fee Earners,"UK - Business Transactions,",UK - Financial Institutions Group (FIG),100,London
Ambrose Serrano,,10190,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Allie Lu,,2323,Business Support Manager,Business Support Services Mgt.,UK - Business Services,"UK - Business Support Services,",UK - Business Support,5700,London
Duncan Frye,,3658,Associate Director,Associate Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,Bristol
Raya Ortega,,4460,Legal Secretary,Central Business Support,UK - Business Services,"UK - Business Support Services,",UK - Business Support,5700,Bristol
Kobe Mason,,8423,Senior Knowledge & Information Assistant,Knowledge,UK - Business Services,"UK - Knowledge,",UK - Knowledge,5900,Bristol
Sienna Saunders,,3385,Partner,Partner,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Banking,300,Bristol
Kasen Goodwin,,5491,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,Reading
Shiloh Estrada,,5632,Immigration Manager,Fee Earning Managers,UK - Fee Earners,"UK - Advisory,",UK - Human Capital,400,Bristol
Phoenix Clark,,10577,Associate,Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Chloe Lim,,4161,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Cal Reilly,,3699,BTG Operations Director,Operations Director,UK - Fee Earner Support,"UK - Business Transactions,",UK - Professional Support,100,London
Tori Foster,,6928,Senior AML Officer,Risk & Compliance,UK - Business Services,"UK - Risk & Compliance,",UK - Risk & Compliance,6100,Bristol
Kayden Nielsen,,7427,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Vienna Avila,,5888,Associate Director,Associate Director,UK - Fee Earners,"UK - Advisory,",UK - Pensions & Competition,400,London
Jaylen Barron,,9791,Associate,Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Anya Burke,,8086,Knowledge Lawyer,Knowledge,UK - Fee Earner Support,"UK - Advisory,",UK - Professional Support,400,Bristol
Jax Phelps,,7838,Associate Director,Associate Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Laney Tran,,2182,Associate Director,Associate Director,UK - Fee Earners,"UK - Advisory,",UK - Pensions & Competition,400,Bristol
Braxton Hess,,3590,Pensions Director,Fee Earning Managers,UK - Fee Earners,"UK - Advisory,",UK - Pensions & Competition,400,Bristol
Kaliyah Arnold,,9882,Junior PA,Jr PA / Admin Assistant,UK - Fee Earner Support,"UK - Projects, Real Estate & Finance,",UK - PA Support,300,Bristol
Abraham Griffith,,9779,US Operations Manager,Workplace Services,US - Operations,"US - Firm Management USA,",US - Operations,6900,Palo Alto
Alicia Blair,,4508,Cyber Security Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Troy Huynh,,9561,Legal Cashier,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Oaklee Love,,11176,Solicitor Apprentice,Solicitor Apprentice (UK),UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Reading
Jeffrey Dyer,,5582,Partner,Partner,UK - Fee Earners,"UK - Advisory,",UK - Tax,400,London
Estrella Koch,,9007,Associate,Associate,UK - Fee Earners,"UK - Advisory,",UK - Pensions & Competition,400,Bristol
Salvador Barnett,,4888,Associate,Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Harlow Nunez,,10689,Digital Content Editor,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Caden Escobar,,5562,Partner,Partner,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Erin Wilkerson,,5132,Project Manager,Change Function,UK - Business Services,"UK - Change Function,",UK - Change Function,6850,London
Carmelo Hutchinson,,11126,Associate,Associate,UK - Fee Earners,"UK - Advisory,",UK - Tax,400,London
Jamie Kemp,,5038,Partner,Partner,UK - Fee Earners,"UK - Disputes and Risk,",UK - Construction Disputes,200,London
